FY,econ.deflator.name,econ.deflator.value,Deflator.Base.Year,Deflator.Source,Deflator.Notes
1970,Gross.Domestic.Product,0.1912,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1971,Gross.Domestic.Product,0.2009,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1972,Gross.Domestic.Product,0.2104,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1973,Gross.Domestic.Product,0.2195,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1974,Gross.Domestic.Product,0.235,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1975,Gross.Domestic.Product,0.2594,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1976,Gross.Domestic.Product,0.2774,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1977,Gross.Domestic.Product,0.2973,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1978,Gross.Domestic.Product,0.3173,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1979,Gross.Domestic.Product,0.3428,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1980,Gross.Domestic.Product,0.37270000000000003,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1981,Gross.Domestic.Product,0.4092,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1982,Gross.Domestic.Product,0.43729999999999997,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1983,Gross.Domestic.Product,0.45649999999999996,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1984,Gross.Domestic.Product,0.47259999999999996,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1985,Gross.Domestic.Product,0.48829999999999996,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1986,Gross.Domestic.Product,0.49939999999999996,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1987,Gross.Domestic.Product,0.5105,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1988,Gross.Domestic.Product,0.5271,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1989,Gross.Domestic.Product,0.5481,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1990,Gross.Domestic.Product,0.5679,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
