source.table,budget.type,deflator.type,pay.category,pay.type,FY,amount
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1948,2472000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1948,3428000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1948,175000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1948,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1948,804000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1948,1608000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1948,3416000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1948,57489000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1948,91367000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1948,3238000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1948,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1948,7519000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1948,18194000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1948,36038000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1949,2712000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1949,3747000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1949,193000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1949,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1949,854000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1949,1900000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1949,3798000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1949,58325000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1949,100136000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1949,3552000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1949,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1949,7657000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1949,20290000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1949,38453000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1950,2586000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1950,4154000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1950,197000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1950,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1950,788000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1950,1828000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1950,4784000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1950,53138000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1950,98751000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1950,3782000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1950,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1950,7089000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1950,19310000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1950,47742000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1951,3222000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1951,6890000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1951,324000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1951,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1951,1632000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1951,8855000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1951,24250000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1951,67116000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1951,153857000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1951,3858000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1951,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1951,13748000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1951,87352000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1951,224176000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1952,4780000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1952,9375000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1952,331000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1952,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1952,1766000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1952,9686000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1952,31251000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1952,93216000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1952,210793000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1952,4018000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1952,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1952,15265000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1952,96531000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1952,299168000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1953,5516000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1953,10097000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1953,356000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1953,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1953,2084000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1953,6419000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1953,19811000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1953,103585000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1953,212681000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1953,4263000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1953,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1953,17891000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1953,63219000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1953,184584000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1954,5271000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1954,9461000000
