FY,econ.deflator.name,econ.deflator.value,Deflator.Base.Year,Deflator.Source,Deflator.Notes
1970,Gross.Domestic.Product,19.63,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1971,Gross.Domestic.Product,20.63,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1972,Gross.Domestic.Product,21.6,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1973,Gross.Domestic.Product,22.54,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1974,Gross.Domestic.Product,24.14,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1975,Gross.Domestic.Product,26.64,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1976,Gross.Domestic.Product,28.48,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1977,Gross.Domestic.Product,30.54,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1978,Gross.Domestic.Product,32.59,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1979,Gross.Domestic.Product,35.21,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1980,Gross.Domestic.Product,38.27,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1981,Gross.Domestic.Product,42.02,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1982,Gross.Domestic.Product,44.9,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1983,Gross.Domestic.Product,46.88,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1984,Gross.Domestic.Product,48.53,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1985,Gross.Domestic.Product,50.14,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1986,Gross.Domestic.Product,51.28,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1987,Gross.Domestic.Product,52.43,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1988,Gross.Domestic.Product,54.13,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1989,Gross.Domestic.Product,56.28,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
