FY,econ.deflator.name,econ.deflator.value,Deflator.Base.Year,Deflator.Source,Deflator.Notes
1970.0,Gross.Domestic.Product,0.1963,2017.0,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1971.0,Gross.Domestic.Product,0.20629999999999998,2017.0,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1972.0,Gross.Domestic.Product,0.21600000000000003,2017.0,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1973.0,Gross.Domestic.Product,0.2254,2017.0,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1974.0,Gross.Domestic.Product,0.2414,2017.0,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1975.0,Gross.Domestic.Product,0.2664,2017.0,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1976.0,Gross.Domestic.Product,0.2848,2017.0,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1977.0,Gross.Domestic.Product,0.3054,2017.0,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1978.0,Gross.Domestic.Product,0.3259,2017.0,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1979.0,Gross.Domestic.Product,0.3521,2017.0,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1980.0,Gross.Domestic.Product,0.38270000000000004,2017.0,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1981.0,Gross.Domestic.Product,0.4202,2017.0,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
