FY,Source,Base.FY,Public.Law.Title,dod.deflator.Value
1970,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,11.79
1971,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,12.61
1972,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,14.31
1973,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,15.94
1974,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,17
1975,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,18.25
1976,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,19.3
1977,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,20.36
1978,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,21.72
1979,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,23.05
1980,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,24.85
1981,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,28.52
1982,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,32.63
1983,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,34.16
1984,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,35.78
1985,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,39.47
1986,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,40.47
1987,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,42.03
1988,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,43.76
1989,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,45.19
1990,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,45.92
1991,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,48.45
1992,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,49.6
1993,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,51.79
1994,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2017,Military.Personnel,53.08
